Plan Name,Providers,ID,Full Monthly Price,Intro Discount,Intro Period (months),Download Speed (Mbps),Upload Speed (Mbps),Data Cap (GB),Contract Required? (Y/N),Contract Length (months),Early Termination Fee,Other Monthly Fees (Total Est.),Other Monthly Fees (Notes),Termination Rights,BCL Source,Other Discounts Available (Notes),Other Discounts Available (Total Est.),Installation Fees,Comments,Data Cap? (Y/N),Early Termination Fee? (Y/N),Contract Key Terms,Low-Income Plan? (Y/N),Requires Follow-Up,Follow-Up Method,Low-Income Discount Eligible? (Y/N),Low-Income Discount ($),Internet Offer Finder Collection,Service Type,Technology
Verizon 5G Home up to 100 Mbps,Verizon,75,$60.00 ,$0.00 ,0,85,10,,No,,,$0.00 ,,,ISP Website,Auto Pay and Paper-free Billing,$10.00 ,$99.00 ,"Verizon Forward provides reduced cost internet to eligible new or existing customers. Qualifying customers receive a variable service discount of up to $30/mo on their Fios, 5G Home, LTE Home, VHI Lite and Frontier Fiber Internet in-market plan price. New or existing customers may qualify with our in-market plans: 5G Home, 5G Home Plus, 5G Home Ultimate, LTE Home, LTE Home Plus, or Fios 300 Mbps, 500 Mbps, 1 Gig or 2 Gig and VHI Lite residential.",No,No,,No,,,Yes,$30.00 ,"4398 CLEAR BROOK PL,4438 FERNBROOK RD",Residential,Licensed Fixed Wireless
Verizon Forward,Verizon,76,,,,,,,,,,,,,,,,,,,,,Yes,,https://www.verizon.com/discounts/verizon-forward/#checkAvailability,,,"4398 CLEAR BROOK PL,4438 FERNBROOK RD",Residential,Licensed Fixed Wireless
Verizon Business LTE Business Internet 25 Mbps,Verizon,77,$84.00 ,$15.00 ,12,22.5,6,,No,,,$2.98 ,Economic Adjustment Charge,,ISP Website,,,$0.00 ,,No,No,,No,,,No,,"8480 S EASTERN AVE,4120 W WINDMILL LN",Commercial,Licensed Fixed Wireless
Verizon Business LTE Business Internet 50 Mbps,Verizon,78,$109.00 ,$10.00 ,36,25,6,300,No,,,$2.98 ,Economic Adjustment Charge,,ISP Website,,,$0.00 ,,Yes,No,,No,,,No,,"8480 S EASTERN AVE,4120 W WINDMILL LN",Commercial,Licensed Fixed Wireless
Verizon Business Backup and Flexible Use Internet 3GB,Verizon,79,$30.00 ,$0.00 ,0,70,20,3,No,,,$0.00 ,,,ISP Website,,$0.00 ,$0.00 ,,Yes,No,,No,,,No,,"8480 S EASTERN AVE,4120 W WINDMILL LN",Commercial,Licensed Fixed Wireless
Viasat Essentials,Viasat Inc,80,$69.99 ,,,86,4,150,Yes,12,$15.00 ,$18.49 ,Administrative Cost Recovery Fee = $3.49; Monthly Lease Fee (if applicable) = $15/Monthly,$15mo for each month remaining in contract,ISP Website,,,$500.00 ,,Yes,Yes,,No,,,No,,"4206 LARKWOOD AVE,6833 ARROYO AVE,4382 THORNDALE PL",Commercial,Geostationary Satellite
Viasat Business Choice 100 Mbps / Unlimited,Viasat Inc,81,$199.99 ,,0,94,4,,Yes,12,$20.00 ,$500.00 ,One-time activation fee,20/mo for each month remaining in contract,ISP Website,,$0.00 ,$0.00 ,,No,Yes,,No,,,No,,"3955 W SUNSET RD,7295 S RAINBOW BLVD,7440 W CHEYENNE AVE",Commercial,Geostationary Satellite
Viasat Business Choice 100 Mbps / 300 GB,Viasat Inc,82,$99.99 ,$0.00 ,0,85,2,300,Yes,12,$20.00 ,$500.00 ,One-time activation fee,$20/mo for each month remaining in contract,ISP Website,,$0.00 ,$0.00 ,,Yes,Yes,,No,,,No,,"3955 W SUNSET RD,7295 S RAINBOW BLVD,7440 W CHEYENNE AVE",Commercial,Geostationary Satellite
Viasat Business Backup Choice 50 Mbps/50 GB,Viasat Inc,83,$49.99 ,$0.00 ,0,97,5,50,Yes,12,$20.00 ,$500.00 ,Activation fee,$20/mo for each month remaining in contract,ISP Website,,$0.00 ,$0.00 ,,Yes,Yes,,No,,,No,$0.00 ,"3955 W SUNSET RD,7295 S RAINBOW BLVD,7440 W CHEYENNE AVE",Commercial,Geostationary Satellite
Viasat Business Added Choice 100 Mbps / Unlimited,Viasat Inc,84,$214.99 ,$0.00 ,0,94,4,,No,,,$500.00 ,Activation fee,,ISP Website,,$0.00 ,$0.00 ,,No,No,,No,,,No,$0.00 ,"3955 W SUNSET RD,7295 S RAINBOW BLVD,7440 W CHEYENNE AVE",Commercial,Geostationary Satellite
Optimum - 300,Optimum,85,$35.00 ,$15.00 ,60,334,22,,No,,,$14.00 ,Network Equipment Rental Fee,,ISP Website,Autopay and Paperless,$10.00 ,$100.00 ,,No,No,,,,,,,"1651 S CASINO DR,2300 S CASINO DR,2311 S CASINO DR,2220 COUGAR DR",Commercial,Cable
Optimum  - 500,Optimum,86,$45.00 ,$15.00 ,60,549,22,,No,,,$14.00 ,Network Equipment Rental Fee,,ISP Website,Autopay and Paperless,$10.00 ,$100.00 ,,No,No,,,,,,,"1651 S CASINO DR,2300 S CASINO DR,2311 S CASINO DR,2220 COUGAR DR",Commercial,Cable
Rise - Family,Rise Broadband,87,$49.99 ,$0.00 ,0,150,20,,No,,,,,,ISP Website,Autopay,$20.00 ,$99.00 ,,No,No,,No,,,No,,"4353 THORNDALE PL,4382 THORNDALE PL",Residential,Licensed Fixed Wireless
Residential/Small Business 250MB,Fort Mojave Telecommunications Inc,88,$95.00 ,$0.00 ,,250,250,,,,,,,,ISP Website,,$0.00 ,,,,,,No,,,No,,"1211 GOLF CLUB DR,1280 COUNTRY CLUB DR,1233 COUNTRY CLUB DR",Residential,Fiber to the Premises
Residential/Small Business 500MB,Fort Mojave Telecommunications Inc,89,$105.00 ,$0.00 ,,500,500,,,,,,,,ISP Website,,$0.00 ,,,,,,No,,,No,,"1211 GOLF CLUB DR,1280 COUNTRY CLUB DR,1233 COUNTRY CLUB DR",Residential,Fiber to the Premises
Residential/Small Business 1GB,Fort Mojave Telecommunications Inc,90,$125.00 ,$0.00 ,,940,940,,,,,,,,ISP Website,,$0.00 ,,,,,,No,,,No,,"1211 GOLF CLUB DR,1280 COUNTRY CLUB DR,1233 COUNTRY CLUB DR",Residential,Fiber to the Premises
Viasat Unleased,Viasat Inc,91,$99.99 ,,,35,4,,No,,,$18.49 ,Administrative Cost Recovery Fee = $3.49; Monthly Lease Fee (if applicable) = $15/Monthly,,ISP Website,,,$500.00 ,,No,No,,No,,,No,,"4206 LARKWOOD AVE,6833 ARROYO AVE,4382 THORNDALE PL",Residential,Geostationary Satellite
Geolinks 500M/200M,GeoLinks,92,$636.00 ,,,500,200,,Yes,12,,,,,Phone Call,"Discounts for 24-month, 36-month, & 60-month commitments",,$500.00 ,,,Yes,,,,,,,"5041 W DIABLO DR,121 INDUSTRIAL PARK RD,4627 CAMERON ST",Commercial,Licensed Fixed Wireless
Geolinks 1000M/300M,GeoLinks,93,$774.00 ,,,1000,300,,Yes,12,,,,,Phone Call,"Discounts for 24-month, 36-month, & 60-month commitments",,$500.00 ,,,Yes,,,,,,,"5041 W DIABLO DR,121 INDUSTRIAL PARK RD,4627 CAMERON ST",Commercial,Licensed Fixed Wireless
T Mobile Away 200GB,T-Mobile,96,$115.00 ,$0.00 ,0,402,33,200,No,,$0.00 ,$2.00 ,Regulatory programs/Telco recovery fee,,ISP Website,Autopay,$5.00 ,$35.00 ,,Yes,No,,No,,,No,,"4398 CLEAR BROOK PL,9775 S MARYLAND PKWY,4382 THORNDALE PL,6785 FLORA DR",Residential,Licensed Fixed Wireless
T Mobile Away Unlimited,T-Mobile,97,$165.00 ,$0.00 ,0,402,33,,No,,$0.00 ,$2.00 ,Regulatory programs/Telco recovery fee,,ISP Website,Autopay,$5.00 ,$35.00 ,,No,No,,No,,,No,,"4398 CLEAR BROOK PL,9775 S MARYLAND PKWY,4382 THORNDALE PL,6785 FLORA DR",Residential,Licensed Fixed Wireless
T Mobile Home Internet Backup,T-Mobile,98,$25.00 ,$0.00 ,0,241,30,,No,,$0.00 ,$2.00 ,Regulatory programs/Telco recovery fee,,ISP Website,Autopay,$5.00 ,$35.00 ,,Yes,No,,No,,,No,,"4398 CLEAR BROOK PL,9775 S MARYLAND PKWY,4382 THORNDALE PL,6785 FLORA DR",Commercial,Licensed Fixed Wireless
T Mobile Small Business Growth,T-Mobile,99,$35.00 ,,,,,,Yes,,,,,,,,,,,,,,,checked,1-844-873-1408,,,2645 W CHEYENNE AVE,Commercial,Licensed Fixed Wireless
T Mobile Business Advanced,T-Mobile,100,$50.00 ,,,,,,Yes,,$0.00 ,,,,ISP Website,,,,,,No,,,checked,1-844-873-1408,,,2645 W CHEYENNE AVE,Commercial,Licensed Fixed Wireless
T Mobile Home Internet Lite 100 GB,T-Mobile,101,$65.00 ,$0.00 ,0,241,78,100,No,,$0.00 ,$1.60 ,Regulatory programs/Telco recovery fee,,ISP Website,Autopay,$5.00 ,,"BCL unavailable, pulled this information from the T Mobile BCL information table (export)",Yes,No,,No,,,No,,"4398 CLEAR BROOK PL,9775 S MARYLAND PKWY,4382 THORNDALE PL,6785 FLORA DR",Residential,Licensed Fixed Wireless
T Mobile Home Internet Lite 150 GB,T-Mobile,102,$90.00 ,$0.00 ,0,241,78,150,No,,$0.00 ,$1.60 ,Regulatory programs/Telco recovery fee,,ISP Website,Autopay,$5.00 ,,"BCL unavailable, pulled this information from the T Mobile BCL information table (export)",Yes,No,,No,,,No,,"4398 CLEAR BROOK PL,9775 S MARYLAND PKWY,4382 THORNDALE PL,6785 FLORA DR",Residential,Licensed Fixed Wireless
T Mobile Rely Home Internet,T-Mobile,103,$55.00 ,$0.00 ,0,318,56,,No,,$0.00 ,$2.00 ,Regulatory programs/Telco recovery fee,,ISP Website,Autopay,$5.00 ,,,No,No,,No,,,No,,6785 FLORA DR,Residential,Licensed Fixed Wireless
T Mobile Amplified Home Internet,T-Mobile,104,$65.00 ,$0.00 ,0,498,55,,No,,$0.00 ,$2.00 ,Regulatory programs/Telco recovery fee,,ISP Website,Autopay,$5.00 ,,,No,No,,No,,,No,,6785 FLORA DR,Residential,Licensed Fixed Wireless
T Mobile All-in Home Internet,T-Mobile,105,$75.00 ,$0.00 ,0,498,55,,No,,$0.00 ,$2.00 ,Regulatory programs/Telco recovery fee,,ISP Website,Autopay,$5.00 ,,,No,No,,No,,,No,,6785 FLORA DR,Residential,Licensed Fixed Wireless
Tristate Wifi - Nickel,Tristate Wi-Fi by Wi-Fiber,107,$60.00 ,$0.00 ,0,51,10,,No,,$0.00 ,$0.00 ,,,ISP Website,0,$0.00 ,$150.00 ,,No,No,,No,,,No,,"186 SUNDANCE SHORES DR,204 SUNDANCE SHORES DR,2151 DELMAR FARMS CT,232 SUNDANCE SHORES DR,2220 COUGAR DR,3453 CACTUS VALLEY LN",Residential,Licensed Fixed Wireless
Tristate Wifi - Copper,Tristate Wi-Fi by Wi-Fiber,108,$70.00 ,$0.00 ,0,102,20,,No,,$0.00 ,$0.00 ,,,ISP Website,0,$0.00 ,$150.00 ,,No,No,,No,,,No,,"186 SUNDANCE SHORES DR,204 SUNDANCE SHORES DR,2151 DELMAR FARMS CT,232 SUNDANCE SHORES DR,2220 COUGAR DR,3453 CACTUS VALLEY LN",Residential,Licensed Fixed Wireless
Tristate Wifi - Silver,Tristate Wi-Fi by Wi-Fiber,109,$80.00 ,$0.00 ,0,512,102,,No,,$0.00 ,$0.00 ,,,ISP Website,0,$0.00 ,$150.00 ,,No,No,,No,,,No,,"186 SUNDANCE SHORES DR,204 SUNDANCE SHORES DR,2151 DELMAR FARMS CT,232 SUNDANCE SHORES DR,2220 COUGAR DR,3453 CACTUS VALLEY LN",Residential,Licensed Fixed Wireless
Tristate Wifi - Gold,Tristate Wi-Fi by Wi-Fiber,110,$95.00 ,$0.00 ,0,1024,204,,No,,$0.00 ,$0.00 ,,,ISP Website,0,$0.00 ,$150.00 ,,No,No,,No,,,No,,,Residential,Licensed Fixed Wireless
Valley Communications Association Basic,Valley Communications Association Inc,112,$54.95 ,$0.00 ,0,40,10,,No,,,$15.00 ,"Monthly router rental

+

Per Wifi Extender",,ISP Website,,$0.00 ,$30.00 ,,No,No,,No,,,No,,"624 E ONYX AVE,655 N MOHICAN ST,520 E ONYX AVE,603 N MOHICAN ST,85 W PEARL AVE,1846 MERCURY AVE",Residential,Unlicensed Fixed Wireless
Valley Communications Association Premium,Valley Communications Association Inc,113,$64.95 ,$0.00 ,0,50,10,,No,,,$15.00 ,"Monthly router rental

+

Per Wifi Extender",,ISP Website,,$0.00 ,$30.00 ,,No,No,,No,,,No,,"624 E ONYX AVE,655 N MOHICAN ST,520 E ONYX AVE,603 N MOHICAN ST,85 W PEARL AVE,1846 MERCURY AVE",Residential,Unlicensed Fixed Wireless
Valley Communications Association Basic (Outside service area),Valley Communications Association Inc,114,$74.95 ,$0.00 ,0,40,10,,No,,,$15.00 ,"Monthly router rental

+

Per Wifi Extender",,ISP Website,,$0.00 ,$30.00 ,,No,No,,No,,,No,,"624 E ONYX AVE,655 N MOHICAN ST,520 E ONYX AVE,603 N MOHICAN ST,85 W PEARL AVE,1846 MERCURY AVE",Residential,Unlicensed Fixed Wireless
WeLink Fast,WeLink Communications Inc,115,$70.00 ,,,500,,,Yes,24,,$10.00 ,"Additional Router
",,Other,,,$0.00 ,"BCL not available online, spoke with a service rep over a chat service",No,No,Month to month is available after the contract for $10,No,,,No,,"4382 THORNDALE PL,4735 ROCKVALE DR,3135 S MONTE CRISTO WAY,9775 S MARYLAND PKWY,185 E FORD AVE",Residential,Unlicensed Fixed Wireless
WeLink Faster,WeLink Communications Inc,116,$80.00 ,,,1000,,,Yes,24,,$10.00 ,"Additional Router
",,Other,,,$0.00 ,"BCL not available online, spoke with a service rep over a chat service",No,No,Month to month is available after the contract for $10,No,,,No,,"4382 THORNDALE PL,4735 ROCKVALE DR,3135 S MONTE CRISTO WAY,9775 S MARYLAND PKWY,185 E FORD AVE",Residential,Unlicensed Fixed Wireless
WeLink Fastest,WeLink Communications Inc,117,$85.00 ,,,1000,,,Yes,24,,$10.00 ,"Additional Router
",,Other,,,$0.00 ,"BCL not available online, spoke with a service rep over a chat service",No,No,Month to month is available after the contract for $10,No,,,No,,"4382 THORNDALE PL,4735 ROCKVALE DR,3135 S MONTE CRISTO WAY,9775 S MARYLAND PKWY,185 E FORD AVE",Residential,Unlicensed Fixed Wireless
Tpx Communications,TPx Communications,118,,,,,,,,,,,,,,,,,I don't think they offer internet,,,,,checked,https://www.tpx.com/lp/managed-it-services/?utm_source=google&utm_medium=cpc&utm_campaign=N-Performance-Max-Managed_Services&utm_adgroup=P-Max-General-Adgroup&utm_term=&campaignid=21148190289&adgroupid=&creative=&matchtype=&network=x&device=c&keyword=&gclsrc=aw.ds&gad_source=1&gad_campaignid=22644236821&gbraid=0AAAAADxIicoXhH_4hQAC7LX_FD1o9wNA9&gclid=CjwKCAjwwpDQBhAuEiwAa-4Wo92wHI0vzZqtzUfzqcPMCDALxWDUgQ6G3vMTrWRPT94IBIDNVEzk8BoCqN8QAvD_BwE,,,"3900 W OQUENDO RD,7440 W CHEYENNE AVE,5041 W DIABLO DR",Commercial,Copper
Connect2Compete,Cox Communications,119,$9.96 ,$0.00 ,0,100,5,1250,No,,$0.00 ,$0.00 ,,,ISP Website,,,$0.00 ,Must have at least one K-12 student and must participate in at least one government assistance program such as SNAP or National School Lunch,No,No,,Yes,,,Yes,,6326 PEAR VALLEY LN,Residential,"Cable, Fiber to the Premises"
